# base	fc544d3b57f27f1422969fca0002cb2bff30ab17
# hardened	377c16e8de65d1b5885c4aa26e404f37b90aa2ca
# upstream	e40c72c823c6502906d4024933f0c119b5ca17cf
# target	ce3522c767bbffddaa71e7e8430e79140e4c554d
# Equality compares complete Git entries, including file mode.
# matches-base means the retained file delta is absent verbatim;
# diverged requires review. Neither is a semantic security verdict.
status	path	upstream	target
M	lib/libc/db/Symbol.map	matches-base	matches-base
M	lib/libc/db/db/db.c	matches-base	matches-base
M	lib/libc/gen/Symbol.map	matches-base	diverged
M	lib/libc/gen/arc4random.c	matches-base	matches-base
M	lib/libc/gen/dlfcn.c	matches-base	matches-base
M	lib/libc/gen/elf_utils.c	matches-base	matches-base
M	lib/libc/gen/posix_spawn.c	matches-base	diverged
M	lib/libc/stdlib/malloc/jemalloc/include/jemalloc/internal/jemalloc_internal_defs.h	matches-base	matches-base
M	lib/libc/stdlib/malloc/jemalloc/include/jemalloc/jemalloc_FreeBSD.h	matches-base	matches-base
M	lib/libclang_rt/Makefile.inc	matches-base	matches-base
M	lib/libclang_rt/cfi/Makefile	matches-base	matches-base
M	lib/libclang_rt/safestack/Makefile	matches-base	matches-base
M	lib/libcompiler_rt/Makefile	matches-base	matches-base
M	lib/libexecinfo/Makefile	matches-base	matches-base
M	lib/libgcc_eh/Makefile	matches-base	matches-base
M	lib/libgcc_s/Makefile	matches-base	matches-base
A	lib/libhbsdcontrol/Makefile	matches-base	matches-base
A	lib/libhbsdcontrol/aslr.c	matches-base	matches-base
A	lib/libhbsdcontrol/disallow_map32bit.c	matches-base	matches-base
A	lib/libhbsdcontrol/harden_shm.c	matches-base	matches-base
A	lib/libhbsdcontrol/insecure_kmod.c	matches-base	matches-base
A	lib/libhbsdcontrol/libhbsdcontrol.c	matches-base	matches-base
A	lib/libhbsdcontrol/libhbsdcontrol.h	matches-base	matches-base
A	lib/libhbsdcontrol/mprotect.c	matches-base	matches-base
A	lib/libhbsdcontrol/pageexec.c	matches-base	matches-base
A	lib/libhbsdcontrol/prohibit_ptrace_capsicum.c	matches-base	matches-base
A	lib/libhbsdcontrol/segvguard.c	matches-base	matches-base
A	lib/libhbsdcontrol/shlibrandom.c	matches-base	matches-base
M	lib/libjail/jail.c	matches-base	diverged
M	lib/libjail/jail.h	matches-base	matches-base
A	lib/liblattzfs/Makefile	matches-base	matches-base
M	lib/libnv/Makefile	matches-base	matches-base
M	lib/libpam/modules/pam_xdg/pam_xdg.c	matches-base	matches-base
M	lib/librt/Makefile	matches-base	matches-base
M	lib/libsys/auxv.3	matches-base	matches-base
M	lib/libsys/auxv.c	matches-base	matches-base
M	lib/libthr/Makefile	matches-base	matches-base
M	lib/libthr/thread/thr_init.c	matches-base	matches-base
M	lib/libthr/thread/thr_private.h	matches-base	matches-base
M	lib/libthr/thread/thr_stack.c	matches-base	matches-base
M	libexec/rc/rc.conf	matches-base	diverged
M	libexec/rc/rc.d/dumpon	matches-base	diverged
M	libexec/rc/rc.d/kld	matches-base	diverged
M	libexec/rc/rc.d/linux	matches-base	diverged
M	libexec/rc/rc.d/motd	matches-base	diverged
M	libexec/rc/rc.d/os-release	matches-base	diverged
M	libexec/rc/rc.d/sshd	matches-base	matches-base
M	libexec/rc/rc.subr	matches-base	diverged
