# base	fc544d3b57f27f1422969fca0002cb2bff30ab17
# hardened	377c16e8de65d1b5885c4aa26e404f37b90aa2ca
# upstream	e40c72c823c6502906d4024933f0c119b5ca17cf
# target	ce3522c767bbffddaa71e7e8430e79140e4c554d
# Equality compares complete Git entries, including file mode.
# matches-base means the retained file delta is absent verbatim;
# diverged requires review. Neither is a semantic security verdict.
status	path	upstream	target
M	sys/libkern/iconv.c	matches-base	matches-base
A	sys/mips/conf/HARDENEDBSD	matches-base	matches-base
A	sys/mips/conf/MALTA-HARDENEDBSD	matches-base	matches-base
A	sys/mips/conf/MALTA64-HARDENEDBSD	matches-base	matches-base
M	sys/modules/Makefile	matches-base	diverged
D	sys/modules/aout/Makefile	matches-base	matches-base
M	sys/modules/bhnd/Makefile	matches-base	matches-base
M	sys/modules/fusefs/Makefile	matches-base	matches-base
M	sys/modules/geom/geom_eli/Makefile	matches-base	matches-base
M	sys/modules/ipfw/Makefile	matches-base	matches-base
M	sys/modules/ipfw_nat/Makefile	matches-base	matches-base
M	sys/modules/ipfw_nat64/Makefile	matches-base	matches-base
M	sys/modules/ipfw_nptv6/Makefile	matches-base	matches-base
M	sys/modules/ipfw_pmod/Makefile	matches-base	matches-base
M	sys/modules/iwlwifi/Makefile	matches-base	diverged
M	sys/modules/linux/Makefile	matches-base	diverged
M	sys/modules/linux64/Makefile	matches-base	diverged
M	sys/modules/linuxkpi/Makefile	matches-base	diverged
M	sys/modules/linuxkpi_hdmi/Makefile	matches-base	matches-base
M	sys/modules/linuxkpi_video/Makefile	matches-base	matches-base
M	sys/modules/linuxkpi_wlan/Makefile	matches-base	diverged
M	sys/modules/netlink/Makefile	matches-base	diverged
M	sys/modules/opensolaris/Makefile	matches-base	matches-base
M	sys/modules/pf/Makefile	matches-base	matches-base
M	sys/modules/pflog/Makefile	matches-base	matches-base
M	sys/modules/pfsync/Makefile	matches-base	matches-base
D	sys/modules/sgx/Makefile	matches-base	matches-base
D	sys/modules/sgx_linux/Makefile	matches-base	matches-base
M	sys/modules/tarfs/Makefile	matches-base	matches-base
M	sys/modules/tmpfs/Makefile	matches-base	matches-base
M	sys/modules/usb/uvideo/Makefile	matches-base	diverged
M	sys/modules/video/Makefile	matches-base	diverged
M	sys/modules/virtio/network/Makefile	matches-base	matches-base
M	sys/modules/vmm/Makefile	matches-base	diverged
M	sys/modules/zfs/Makefile	matches-base	diverged
M	sys/modules/zlib/Makefile	matches-base	matches-base
M	sys/netinet/accf_dns.c	matches-base	matches-base
M	sys/netinet/accf_http.c	matches-base	matches-base
M	sys/netinet/in_pcb.c	matches-base	diverged
M	sys/netinet/ip.h	matches-base	matches-base
M	sys/netinet/ip_icmp.c	matches-base	diverged
M	sys/netinet/ip_id.c	matches-base	matches-base
M	sys/netinet/ip_input.c	matches-base	matches-base
M	sys/netinet/ip_reass.c	matches-base	matches-base
M	sys/netinet/raw_ip.c	matches-base	diverged
M	sys/netinet/tcp_input.c	matches-base	diverged
M	sys/netinet/udp_usrreq.c	matches-base	diverged
M	sys/netinet6/icmp6.c	matches-base	diverged
M	sys/netinet6/in6_pcb.c	matches-base	diverged
M	sys/netinet6/in6_proto.c	matches-base	matches-base
M	sys/netinet6/in6_src.c	matches-base	diverged
M	sys/netinet6/nd6_rtr.c	matches-base	diverged
M	sys/netlink/netlink_message_writer.c	matches-base	matches-base
A	sys/powerpc/conf/HARDENEDBSD64	matches-base	matches-base
M	sys/powerpc/powerpc/elf32_machdep.c	matches-base	matches-base
M	sys/powerpc/powerpc/elf64_machdep.c	matches-base	diverged
M	sys/powerpc/powerpc/elf_common.c	matches-base	matches-base
M	sys/powerpc/powerpc/exec_machdep.c	matches-base	diverged
M	sys/powerpc/pseries/phyp_vscsi.c	matches-base	matches-base
A	sys/riscv/conf/HARDENEDBSD	matches-base	matches-base
A	sys/riscv/conf/HARDENEDBSD-CORE	matches-base	matches-base
A	sys/riscv/conf/QEMU-HARDENEDBSD	matches-base	matches-base
M	sys/riscv/conf/std.starfive	matches-base	matches-base
M	sys/riscv/riscv/elf_machdep.c	matches-base	matches-base
M	sys/riscv/riscv/exec_machdep.c	matches-base	diverged
M	sys/security/mac_do/mac_do.c	matches-base	diverged
M	sys/sys/copyright.h	matches-base	matches-base
M	sys/sys/elf_common.h	matches-base	diverged
M	sys/sys/exec.h	matches-base	matches-base
M	sys/sys/imgact.h	matches-base	diverged
M	sys/sys/imgact_elf.h	matches-base	diverged
M	sys/sys/jail.h	matches-base	diverged
M	sys/sys/kernel.h	matches-base	diverged
M	sys/sys/ktr_class.h	matches-base	matches-base
M	sys/sys/link_elf.h	matches-base	matches-base
M	sys/sys/linker.h	matches-base	matches-base
M	sys/sys/mount.h	matches-base	diverged
A	sys/sys/pax.h	matches-base	matches-base
M	sys/sys/priv.h	matches-base	diverged
M	sys/sys/proc.h	matches-base	diverged
M	sys/sys/sysctl.h	matches-base	diverged
M	sys/sys/sysent.h	matches-base	diverged
M	sys/sys/user.h	matches-base	diverged
M	sys/vm/vm_map.c	matches-base	diverged
M	sys/vm/vm_map.h	matches-base	diverged
M	sys/vm/vm_mmap.c	matches-base	diverged
M	sys/vm/vm_object.c	matches-base	diverged
M	sys/vm/vm_phys.c	matches-base	diverged
M	sys/vm/vm_unix.c	matches-base	matches-base
M	sys/x86/include/specialreg.h	matches-base	diverged
M	sys/x86/x86/cpu_machdep.c	matches-base	matches-base
M	sys/x86/x86/identcpu.c	matches-base	diverged
M	sys/x86/x86/mp_x86.c	matches-base	diverged
M	targets/pseudo/bootstrap-tools/Makefile	matches-base	matches-base
M	targets/pseudo/userland/share/Makefile.depend	matches-base	matches-base
M	tests/sys/kern/kern_copyin.c	matches-base	matches-base
M	tools/boot/install-boot.sh	matches-base	diverged
M	tools/build/Makefile	matches-base	diverged
M	tools/build/mk/OptionalObsoleteFiles.inc	matches-base	diverged
A	tools/build/options/WITHOUT_CFI	matches-base	matches-base
D	tools/build/options/WITHOUT_FREEBSD_UPDATE	matches-base	matches-base
A	tools/build/options/WITHOUT_HBSDCONTROL	matches-base	matches-base
A	tools/build/options/WITHOUT_HBSD_UPDATE	matches-base	matches-base
D	tools/build/options/WITHOUT_KERNEL_RETPOLINE	matches-base	matches-base
D	tools/build/options/WITHOUT_LIB32	matches-base	matches-base
A	tools/build/options/WITHOUT_LTOLIB	matches-base	matches-base
D	tools/build/options/WITHOUT_PIE	matches-base	matches-base
A	tools/build/options/WITHOUT_SAFESTACK	matches-base	matches-base
A	tools/build/options/WITHOUT_UNINIT_AUTOINIT	matches-base	matches-base
D	tools/build/options/WITHOUT_ZEROREGS	matches-base	matches-base
A	tools/build/options/WITH_CFI	matches-base	matches-base
A	tools/build/options/WITH_DEVD_PIE	matches-base	matches-base
A	tools/build/options/WITH_FREEBSD_UPDATE	matches-base	matches-base
D	tools/build/options/WITH_KERNEL_RETPOLINE	matches-base	matches-base
D	tools/build/options/WITH_LLVM_LINK_STATIC_LIBRARIES	matches-base	matches-base
A	tools/build/options/WITH_LTOLIB	matches-base	matches-base
D	tools/build/options/WITH_PIE	matches-base	matches-base
A	tools/build/options/WITH_SAFESTACK	matches-base	matches-base
A	tools/build/options/WITH_SHLIBRANDOM	matches-base	matches-base
A	tools/build/options/WITH_SPECTREV1_FIX	matches-base	matches-base
D	tools/build/options/WITH_ZEROREGS	matches-base	matches-base
M	tools/test/stress2/misc/mmap39.sh	matches-base	matches-base
M	tools/tools/nanobsd/embedded/qemu-powerpc64.cfg	matches-base	matches-base
M	usr.bin/Makefile	matches-base	diverged
M	usr.bin/ar/Makefile	matches-base	matches-base
M	usr.bin/calendar/Makefile	matches-base	matches-base
A	usr.bin/calendar/calendars/calendar.all	matches-base	matches-base
M	usr.bin/cap_mkdb/Makefile	matches-base	matches-base
M	usr.bin/clang/Makefile.inc	matches-base	matches-base
M	usr.bin/clang/clang.prog.mk	matches-base	matches-base
M	usr.bin/clang/lld/Makefile	matches-base	matches-base
M	usr.bin/clang/lldb-server/Makefile	matches-base	matches-base
M	usr.bin/clang/lldb/Makefile	matches-base	matches-base
M	usr.bin/clang/llvm.prog.mk	matches-base	matches-base
M	usr.bin/gcore/gcore.c	matches-base	matches-base
M	usr.bin/grep/Makefile	matches-base	matches-base
A	usr.bin/lint/Makefile	matches-base	matches-base
M	usr.bin/logger/logger.c	matches-base	matches-base
M	usr.bin/login/login.conf	matches-base	diverged
M	usr.bin/login/motd.template	matches-base	diverged
M	usr.bin/mail/Makefile	matches-base	matches-base
M	usr.bin/nc/Makefile	matches-base	matches-base
M	usr.bin/nm/Makefile	matches-base	matches-base
M	usr.bin/procstat/procstat_auxv.c	matches-base	matches-base
M	usr.bin/rpcgen/Makefile	matches-base	matches-base
M	usr.bin/rpcinfo/Makefile	matches-base	diverged
M	usr.bin/showmount/Makefile	matches-base	matches-base
M	usr.bin/tsort/Makefile	matches-base	matches-base
M	usr.bin/vi/Makefile	matches-base	matches-base
M	usr.sbin/Makefile	matches-base	diverged
M	usr.sbin/adduser/adduser.sh	matches-base	diverged
M	usr.sbin/bhyve/amd64/xmsr.c	matches-base	matches-base
M	usr.sbin/bhyveload/Makefile	matches-base	matches-base
M	usr.sbin/blacklistd/Makefile	matches-base	matches-base
M	usr.sbin/bsdconfig/console/include/messages.subr	matches-base	matches-base
M	usr.sbin/bsdconfig/include/messages.subr	matches-base	matches-base
M	usr.sbin/bsdconfig/share/common.subr	matches-base	diverged
M	usr.sbin/bsdconfig/share/media/http.subr	matches-base	matches-base
M	usr.sbin/bsdconfig/share/mustberoot.subr	matches-base	matches-base
A	usr.sbin/bsdinstall/HardenedBSD-base.conf.in	matches-base	matches-base
M	usr.sbin/bsdinstall/Makefile	matches-base	diverged
M	usr.sbin/bsdinstall/scripts/auto	matches-base	diverged
M	usr.sbin/bsdinstall/scripts/config	matches-base	diverged
M	usr.sbin/bsdinstall/scripts/hardening	matches-base	diverged
M	usr.sbin/bsdinstall/scripts/mirrorselect	matches-base	diverged
M	usr.sbin/bsdinstall/scripts/pkgbase.in	matches-base	diverged
M	usr.sbin/cron/cron/Makefile	matches-base	diverged
M	usr.sbin/etcupdate/tests/preworld_test.sh	matches-base	matches-base
M	usr.sbin/gssd/Makefile	matches-base	matches-base
A	usr.sbin/hbsd-update/Makefile	matches-base	matches-base
A	usr.sbin/hbsd-update/hbsd-update	matches-base	matches-base
A	usr.sbin/hbsd-update/hbsd-update-build	matches-base	matches-base
A	usr.sbin/hbsd-update/hbsd-update-build.8	matches-base	matches-base
A	usr.sbin/hbsd-update/hbsd-update.8	matches-base	matches-base
A	usr.sbin/hbsd-update/hbsd-update.conf	matches-base	matches-base
A	usr.sbin/hbsd-update/hbsd-update.tor.conf	matches-base	matches-base
A	usr.sbin/hbsdcontrol/Makefile	matches-base	matches-base
A	usr.sbin/hbsdcontrol/hbsdcontrol.8	matches-base	matches-base
A	usr.sbin/hbsdcontrol/hbsdcontrol.c	matches-base	matches-base
M	usr.sbin/iscsid/Makefile	matches-base	matches-base
M	usr.sbin/jail/config.c	matches-base	diverged
M	usr.sbin/jail/jail.c	matches-base	diverged
M	usr.sbin/jail/jailp.h	matches-base	matches-base
M	usr.sbin/jail/jailparse.y	matches-base	matches-base
M	usr.sbin/jail/state.c	matches-base	matches-base
M	usr.sbin/mountd/Makefile	matches-base	matches-base
M	usr.sbin/newsyslog/newsyslog.conf	matches-base	matches-base
M	usr.sbin/newsyslog/newsyslog.conf.d/amd.conf	matches-base	matches-base
M	usr.sbin/newsyslog/newsyslog.conf.d/lpr.conf	matches-base	matches-base
M	usr.sbin/nfscbd/Makefile	matches-base	matches-base
M	usr.sbin/nfsuserd/Makefile	matches-base	matches-base
M	usr.sbin/ntp/Makefile	matches-base	matches-base
M	usr.sbin/ntp/ntpd/Makefile	matches-base	matches-base
M	usr.sbin/ntp/ntpd/ntp.conf	matches-base	matches-base
A	usr.sbin/periodic/etc/security/120.hardenedmtree	matches-base	matches-base
M	usr.sbin/periodic/etc/security/Makefile	matches-base	matches-base
M	usr.sbin/periodic/periodic.conf	matches-base	matches-base
M	usr.sbin/pkg/FreeBSD.conf.latest	matches-base	matches-base
M	usr.sbin/pkg/FreeBSD.conf.quarterly	matches-base	matches-base
A	usr.sbin/pkg/HardenedBSD.conf	matches-base	matches-base
A	usr.sbin/pkg/HardenedBSD.pkgbase.conf	matches-base	matches-base
A	usr.sbin/pkg/HardenedBSD.pkgbase.tor.conf	matches-base	matches-base
A	usr.sbin/pkg/HardenedBSD.tor.conf	matches-base	matches-base
M	usr.sbin/pkg/Makefile	matches-base	diverged
M	usr.sbin/ppp/Makefile	matches-base	matches-base
M	usr.sbin/pw/tests/master.passwd	matches-base	matches-base
M	usr.sbin/pwd_mkdb/Makefile	matches-base	matches-base
M	usr.sbin/rpc.lockd/Makefile	matches-base	matches-base
M	usr.sbin/rpc.statd/Makefile	matches-base	matches-base
M	usr.sbin/rpc.tlsclntd/Makefile	matches-base	matches-base
M	usr.sbin/rpc.tlsservd/Makefile	matches-base	matches-base
M	usr.sbin/rpc.umntall/Makefile	matches-base	matches-base
M	usr.sbin/rpc.yppasswdd/Makefile	matches-base	matches-base
M	usr.sbin/rpc.ypxfrd/Makefile	matches-base	matches-base
M	usr.sbin/rpcbind/Makefile	matches-base	matches-base
M	usr.sbin/sa/extern.h	matches-base	matches-base
M	usr.sbin/sendmail/Makefile	matches-base	matches-base
M	usr.sbin/services_mkdb/Makefile	matches-base	matches-base
A	usr.sbin/syslogd/pkg.conf	matches-base	matches-base
M	usr.sbin/syslogd/syslog.conf	matches-base	matches-base
M	usr.sbin/unbound/Makefile	matches-base	matches-base
M	usr.sbin/unbound/checkconf/Makefile	matches-base	matches-base
M	usr.sbin/unbound/daemon/Makefile	matches-base	matches-base
A	usr.sbin/unbound/host/Makefile	matches-base	matches-base
M	usr.sbin/wpa/Makefile.inc	matches-base	diverged
M	usr.sbin/yp_mkdb/Makefile	matches-base	matches-base
